id,price,price_m, total_square ,living_square,ratio_livtot,rooms,level,total_levels,not_ground_floor,not_last_floor,middle_floor,age,kitchen_type,bad_cond,old_cond,rough_cond,prefin_cond,average_cond,good_cond,high_cond,test,panel,brick,concrete,part_furniture,full_furniture,year,walls,condition,price_m_k,furniture,district_name,district_code
390,20000000,393701,50.8,28.7,0.56,2,4,5,1,1,1,33,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1986,p,high,393.7,2,NBH aksaj-4,23
391,22000000,282051,78,54,0.69,2,9,9,1,0,0,10,1,0,0,0,0,0,1,0,1,0,0,1,1,0,2009,m,good,282.1,1,NBH aksaj-1a,18
392,21500000,327245,65.7,64.8,0.99,3,12,13,1,1,1,21,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1998,p,good,327.2,2,NBH aksaj-1a,18
393,21500000,275641,78,40,0.51,2,9,9,1,0,0,12,1,0,0,0,0,0,1,0,1,0,0,1,1,1,2007,m,good,275.6,2,NBH aksaj-1a,18
394,25000000,328947,76,56,0.74,4,4,5,1,1,1,30,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1989,p,old,328.9,2,NBH aksaj-1a,18
395,18000000,300000,60,45.5,0.76,3,4,5,1,1,1,34,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1985,p,high,300,1,NBH aksaj-3,20
396,26000000,398162,65.3,41.1,0.63,3,1,9,0,1,0,33,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1986,p,good,398.2,1,NBH aksaj-4,23
397,40000000,370370,108,55,0.51,3,5,13,1,1,1,5,1,0,0,0,0,0,0,1,1,0,0,1,1,1,2014,m,high,370.4,2,NBH aksaj-5,24
398,28000000,373333,75,70,0.93,3,3,9,1,1,1,28,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1991,p,good,373.3,1,NBH aksaj-4,23
399,30000000,315789,95,86,0.91,3,4,9,1,1,1,22,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1997,m,good,315.8,1,NBH aksaj-1,17
400,20500000,331179,61.9,32,0.52,2,2,9,1,1,1,9,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2010,m,high,331.2,1,NBH aksaj-1a,18
401,25000000,363901,68.7,40.8,0.59,3,6,9,1,1,1,32,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1987,p,good,363.9,2,NBH aksaj-4,23
402,18500000,353053,52.4,35,0.67,2,3,9,1,1,1,5,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2014,m,high,353.1,0,NBH aksaj-1a,18
403,12000000,314136,38.2,20,0.52,1,3,4,1,1,1,43,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1976,p,good,314.1,1,NBH aksaj-1,17
