id,price,price_m, total_square ,living_square,ratio_livtot,rooms,level,total_levels,not_ground_floor,not_last_floor,middle_floor,age,kitchen_type,bad_cond,old_cond,rough_cond,prefin_cond,average_cond,good_cond,high_cond,test,panel,brick,concrete,part_furniture,full_furniture,year,walls,condition,price_m_k,furniture,district_name,district_code
152.0,19000000.0,325901.0,58.3,32.0,0.55,2.0,9.0,9.0,1.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1992.0,p,good,325.9,2.0,NBH zhetysu-2,14.0
153.0,56700000.0,417526.0,135.8,78.1,0.58,5.0,2.0,9.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2014.0,m,good,417.5,1.0,NBH zhetysu-2,14.0
154.0,15000000.0,326087.0,46.0,18.0,0.39,1.0,12.0,12.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2009.0,m,high,326.1,2.0,NBH zhetysu-3,15.0
155.0,32000000.0,336842.0,95.0,50.0,0.53,3.0,7.0,10.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2010.0,m,good,336.8,2.0,NBH zhetysu-1,13.0
156.0,21500000.0,436105.0,49.3,24.9,0.51,1.0,2.0,12.0,1.0,1.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2007.0,m,good,436.1,1.0,NBH zhetysu-3,15.0
157.0,38000000.0,400000.0,95.0,60.0,0.63,4.0,3.0,10.0,1.0,1.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2001.0,m,good,400.0,1.0,NBH zhetysu-1,13.0
158.0,27000000.0,402985.0,67.0,48.0,0.72,3.0,7.0,9.0,1.0,1.0,1.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1992.0,p,good,403.0,1.0,NBH zhetysu-1,13.0
159.0,25000000.0,347222.0,72.0,45.0,0.63,3.0,1.0,9.0,0.0,1.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1992.0,p,good,347.2,1.0,NBH zhetysu-1,13.0
160.0,35000000.0,472973.0,74.0,69.0,0.93,3.0,3.0,9.0,1.0,1.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1993.0,p,good,473.0,1.0,NBH zhetysu-2,14.0
161.0,25700000.0,367143.0,70.0,44.0,0.63,3.0,4.0,5.0,1.0,1.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1991.0,k,good,367.1,1.0,NBH zhetysu-1,13.0
